customer_id,age,tenure_months,monthly_charges,support_calls,contract_type,usage_hours,churn
C0047,56.0,59,70.62,0,Yearly,38.4,1
C0048,35.0,45,44.73,8,Yearly,61.0,0
C0049,21.0,6,101.53,7,Two-Year,78.6,0
C0050,42.0,37,92.43,7,Monthly,87.6,0
C0051,31.0,57,49.87,9,,139.1,0
C0052,67.0,33,37.41,5,Monthly,20.8,0
C0053,26.0,53,91.24,6,Monthly,16.6,0
C0054,43.0,22,88.91,5,Monthly,84.5,0
C0055,19.0,21,54.59,8,Monthly,142.5,1
C0056,37.0,6,115.58,2,Monthly,46.8,0
C0057,45.0,6,43.6,2,Yearly,131.9,1
C0058,64.0,55,68.91,2,Monthly,59.4,0
C0059,24.0,48,114.93,9,Yearly,178.4,1
C0060,61.0,4,67.78,2,Monthly,180.2,1
C0061,25.0,30,87.47,8,Monthly,66.5,0
C0062,64.0,11,65.78,3,Yearly,53.7,0
C0063,52.0,30,54.68,6,Monthly,88.1,0
C0064,31.0,31,118.56,8,Monthly,55.7,1
C0065,34.0,24,66.84,6,Yearly,137.8,0
C0066,53.0,55,110.47,8,Monthly,167.0,0
C0067,67.0,9,50.7,2,Monthly,137.9,0
C0068,57.0,55,49.18,3,Monthly,166.6,0
C0069,21.0,3,32.8,7,Two-Year,85.4,1
C0070,19.0,51,88.65,5,Yearly,39.7,0
C0071,23.0,31,999999.0,4,Yearly,150.2,1
C0072,59.0,40,107.79,3,Yearly,78.5,1
C0073,21.0,37,72.59,7,Monthly,137.5,1
C0074,46.0,36,117.14,0,Monthly,61.4,1
C0075,35.0,24,46.7,8,Yearly,25.4,0
C0076,43.0,31,108.18,0,Monthly,198.6,0
C0077,61.0,6,99.89,7,Monthly,39.7,1
C0078,51.0,2,99.38,3,Monthly,197.8,1
C0079,27.0,20,106.03,8,Monthly,195.7,0
C0080,53.0,28,98.49,4,Two-Year,160.8,0
C0081,31.0,11,86.36,2,Monthly,135.3,0
C0082,48.0,4,41.81,8,Monthly,119.8,0
C0083,65.0,15,32.93,8,Monthly,174.6,0
C0084,32.0,6,112.88,3,Two-Year,65.0,1
C0085,25.0,54,85.5,3,Monthly,98.9,0
C0086,31.0,49,101.69,7,Monthly,127.7,0
C0087,40.0,30,73.34,1,Yearly,88.1,1
C0088,57.0,56,40.56,8,Yearly,91.2,1
C0089,38.0,38,41.27,5,Monthly,72.8,0
C0090,33.0,51,91.7,8,Monthly,117.2,0
C0091,62.0,57,68.73,7,Monthly,171.6,0
C0092,35.0,2,48.05,6,Monthly,48.3,1
C0093,64.0,15,74.24,0,Monthly,187.5,1
C0094,41.0,11,35.78,2,Monthly,140.9,0
C0095,43.0,8,82.38,1,Monthly,166.4,1
C0096,42.0,26,54.21,4,Monthly,115.7,1
C0097,62.0,51,101.78,4,Yearly,158.1,0
C0098,58.0,45,57.93,4,Two-Year,13.1,1
C0099,46.0,44,70.97,3,Yearly,165.5,0
C0100,32.0,5,31.05,4,Monthly,17.6,1
C0101,62.0,6,36.52,2,Monthly,179.1,1
C0102,18.0,26,65.32,0,Two-Year,198.5,0
C0103,42.0,54,73.19,4,Monthly,65.9,1
C0104,24.0,4,84.0,8,Monthly,50.0,0
C0105,26.0,19,56.25,8,Yearly,155.4,1
C0106,41.0,20,92.55,3,Yearly,58.1,1
C0107,18.0,33,107.41,2,Yearly,174.5,0
C0108,61.0,20,100.19,0,Monthly,29.5,1
C0109,25.0,49,33.57,1,Monthly,33.9,0
C0110,41.0,12,73.25,7,Two-Year,196.0,1
C0111,28.0,47,39.44,0,Monthly,138.0,1
C0112,68.0,1,51.78,7,Yearly,170.9,1
C0113,34.0,26,118.8,6,Yearly,71.6,1
C0114,25.0,14,42.82,7,Yearly,138.5,0
C0115,52.0,38,74.9,5,Monthly,122.9,1
C0116,52.0,37,85.63,8,Monthly,124.6,1
C0117,50.0,11,93.22,2,Yearly,139.7,0
C0118,22.0,36,80.37,9,Two-Year,119.3,0
C0119,59.0,13,30.88,3,Two-Year,91.5,0
C0120,56.0,43,59.38,5,Monthly,62.4,0
C0121,58.0,3,76.59,7,Monthly,156.0,1
C0122,45.0,33,37.91,4,Two-Year,53.0,0
C0123,24.0,6,61.56,2,Yearly,141.5,1
C0124,26.0,50,32.99,5,Two-Year,54.3,0
C0125,25.0,56,37.07,3,Monthly,128.8,1
C0126,29.0,10,65.72,8,Yearly,151.9,1
C0127,51.0,5,41.94,2,Yearly,51.6,1
C0128,50.0,23,81.08,3,Yearly,21.4,1
C0129,65.0,10,92.05,6,Monthly,34.9,0
C0130,40.0,44,102.05,6,Monthly,125.1,1
C0131,41.0,2,48.01,3,Yearly,171.4,0
C0132,54.0,13,45.07,5,Monthly,18.5,1
C0133,52.0,40,39.41,2,Monthly,149.5,0
C0134,61.0,2,87.28,5,Two-Year,74.9,1
C0135,57.0,20,93.58,1,Monthly,100.9,0
C0136,39.0,1,32.84,7,Yearly,186.5,1
C0137,44.0,37,114.26,1,Monthly,73.1,1
C0138,52.0,9,34.68,6,Yearly,98.4,1
C0139,18.0,17,78.72,8,Two-Year,12.6,0
C0140,52.0,9,93.82,0,Monthly,25.5,1
C0141,54.0,11,108.39,7,Monthly,59.1,1
C0142,64.0,15,94.27,6,Monthly,15.3,1
C0143,31.0,24,102.16,5,Monthly,130.0,1
C0144,20.0,38,60.55,5,Yearly,91.0,1
C0145,18.0,55,103.33,5,Two-Year,114.1,1
C0146,22.0,35,37.21,8,Monthly,43.2,0
C0147,43.0,30,110.53,1,Monthly,66.2,1
C0148,31.0,31,79.28,0,Monthly,136.1,1
C0149,56.0,49,103.56,5,Yearly,193.4,0
C0150,44.0,5,70.71,9,Monthly,19.6,1
C0151,26.0,60,87.92,7,Yearly,179.2,1
C0152,32.0,44,77.38,2,Yearly,119.6,1
C0153,32.0,50,95.84,9,Yearly,117.1,1
C0154,43.0,14,37.35,0,Monthly,105.1,0
C0155,59.0,53,35.43,8,Yearly,23.2,1
C0156,30.0,56,52.24,0,Monthly,27.1,1
C0157,68.0,11,44.36,2,Monthly,124.2,1
C0158,49.0,9,108.46,7,Two-Year,74.8,0
C0159,56.0,34,49.73,2,Yearly,184.3,0
C0160,66.0,12,117.83,3,Monthly,87.3,1
C0161,69.0,35,60.32,7,Monthly,37.2,0
C0162,49.0,35,46.39,0,Monthly,145.8,0
C0163,21.0,1,101.07,5,Monthly,65.7,1
C0164,47.0,40,89.28,0,Monthly,109.8,0
C0165,54.0,22,74.84,0,Monthly,142.6,1
C0166,40.0,60,79.98,7,Monthly,181.1,0
C0167,56.0,29,94.73,3,Yearly,160.5,0
C0168,62.0,8,50.56,0,Yearly,138.5,0
C0169,32.0,11,119.67,9,Yearly,139.1,1
C0170,60.0,41,117.73,6,Monthly,189.7,1
C0171,46.0,37,88.53,4,Two-Year,66.2,1
C0172,53.0,14,47.96,4,Yearly,10.2,0
C0173,30.0,60,91.22,0,Yearly,61.7,0
C0174,49.0,30,36.5,9,Yearly,51.4,1
C0175,24.0,35,32.76,5,Two-Year,135.7,0
C0176,68.0,21,53.19,8,Monthly,130.4,1
C0177,39.0,37,71.64,8,Monthly,122.8,0
C0178,45.0,5,108.14,7,Yearly,13.1,1
C0179,19.0,19,95.45,4,Yearly,148.5,0
C0180,59.0,59,96.84,0,Yearly,71.5,0
C0181,62.0,14,68.29,8,Monthly,136.4,0
C0182,23.0,26,61.13,0,Monthly,115.7,0
C0183,45.0,4,63.39,7,Monthly,75.1,1
C0184,45.0,25,118.89,4,Two-Year,35.6,1
C0185,61.0,45,33.61,2,Yearly,27.9,0
C0186,61.0,42,108.03,6,Monthly,168.0,0
C0187,37.0,25,82.08,6,Monthly,184.5,1
C0188,47.0,18,69.48,8,Monthly,133.5,0
C0189,28.0,40,95.27,6,Two-Year,29.7,0
C0190,45.0,8,73.8,2,Yearly,86.4,0
C0191,42.0,39,108.61,0,Yearly,148.5,1
C0192,56.0,40,111.06,7,Monthly,158.2,1
C0193,50.0,14,67.95,2,Yearly,32.5,1
C0194,18.0,32,54.91,7,Monthly,10.0,1
C0195,44.0,51,83.31,7,Yearly,145.3,1
C0196,69.0,38,112.11,4,Monthly,77.8,0
C0197,30.0,33,48.96,0,Monthly,58.4,1
C0198,58.0,23,86.07,9,Yearly,12.5,1
C0199,20.0,15,86.84,6,Two-Year,112.7,1
C0200,56.0,33,95.98,9,Monthly,171.7,0
C0201,23.0,25,41.84,4,Yearly,192.0,0
C0202,25.0,17,94.42,7,Monthly,117.5,1
C0203,44.0,33,111.81,8,Monthly,107.7,0
C0204,26.0,47,46.17,6,Monthly,26.2,0
C0205,54.0,55,51.38,6,Monthly,114.3,0
C0206,50.0,2,117.43,0,Monthly,82.2,1
C0207,68.0,14,46.29,3,Monthly,125.4,1
C0208,59.0,53,106.89,1,Monthly,83.9,1
C0209,61.0,40,74.31,1,Two-Year,55.7,0
C0210,41.0,40,52.25,1,Monthly,28.0,0
C0211,32.0,51,108.37,3,Yearly,69.8,0
C0212,49.0,39,70.08,0,Monthly,28.4,1
C0213,49.0,51,76.33,3,Yearly,43.6,0
C0214,41.0,6,62.33,1,Monthly,197.6,1
C0215,58.0,6,83.37,4,Monthly,94.4,1
C0216,69.0,3,44.72,2,Monthly,111.1,1
C0217,66.0,7,65.2,7,Monthly,176.0,1
C0218,66.0,51,117.25,3,Monthly,199.2,0
C0219,69.0,8,53.23,0,Yearly,120.7,0
C0220,29.0,42,89.11,0,Two-Year,164.4,0
C0221,56.0,52,59.27,9,Yearly,72.1,0
C0222,19.0,15,99.61,2,Yearly,68.1,0
C0223,20.0,47,41.78,8,Monthly,86.5,0
C0224,66.0,29,117.28,6,Monthly,137.8,0
C0225,54.0,33,70.84,1,Monthly,139.6,1
C0226,66.0,52,51.24,8,Monthly,69.9,1
C0227,34.0,30,36.61,9,Monthly,35.3,0
C0228,66.0,39,45.28,1,Monthly,130.2,1
C0229,19.0,27,76.78,2,Monthly,34.4,0
C0230,19.0,36,60.33,9,Monthly,119.9,1
C0231,45.0,29,104.6,1,Yearly,141.8,0
C0232,40.0,38,68.78,2,Yearly,143.1,0
C0233,54.0,57,52.38,5,Monthly,153.2,0
C0234,49.0,33,85.54,8,Two-Year,175.8,0
C0235,50.0,37,93.61,8,Two-Year,105.0,0
C0236,18.0,27,45.03,6,Monthly,148.7,0
C0237,36.0,55,45.09,2,Monthly,127.6,0
C0238,19.0,33,33.3,3,Monthly,45.5,1
C0239,61.0,4,96.28,5,Two-Year,14.9,0
C0240,43.0,22,89.74,4,Two-Year,64.1,1
C0241,49.0,2,72.72,1,Monthly,94.2,1
C0242,23.0,10,105.98,5,Monthly,127.3,1
C0243,49.0,5,102.51,2,Yearly,171.5,1
C0244,21.0,59,82.68,7,Monthly,47.3,1
C0245,28.0,10,108.14,1,Monthly,33.9,0
C0246,34.0,33,48.53,0,Two-Year,193.1,1
C0247,55.0,54,40.07,8,Yearly,30.5,1
C0248,41.0,38,54.28,2,Yearly,100.9,0
C0249,22.0,13,35.14,0,Two-Year,121.3,0
C0250,69.0,31,77.81,6,Yearly,112.9,1
C0251,51.0,47,114.29,9,Monthly,26.3,0
C0252,23.0,36,33.54,4,Yearly,20.8,0
C0253,39.0,45,40.99,4,Monthly,30.0,1
C0254,28.0,24,70.7,0,Yearly,121.3,1
C0255,65.0,52,114.05,8,Monthly,113.4,1
C0256,33.0,56,58.45,6,Yearly,54.4,1
C0257,50.0,15,75.65,7,Monthly,131.2,1
C0258,26.0,29,33.74,8,Monthly,165.8,0
C0259,23.0,8,43.35,5,Monthly,17.9,1
C0260,33.0,5,118.8,4,Monthly,104.6,0
C0261,46.0,29,116.86,5,Yearly,141.0,1
C0262,20.0,47,30.44,1,Yearly,57.9,0
C0263,37.0,4,115.66,3,Monthly,68.5,1
C0264,53.0,12,87.52,2,Monthly,126.6,1
C0265,36.0,45,108.11,6,Monthly,180.6,1
C0266,43.0,2,70.93,8,Monthly,163.9,1
C0267,20.0,27,76.4,4,Monthly,120.8,1
C0268,36.0,31,74.0,5,Two-Year,148.7,1
C0269,37.0,51,90.02,9,Monthly,79.3,0
C0270,49.0,51,42.57,1,Monthly,131.8,1
C0271,24.0,36,32.7,2,Monthly,98.6,0
C0272,69.0,36,57.71,2,Monthly,46.1,1
C0273,58.0,26,93.42,8,Monthly,143.3,0
C0274,50.0,43,48.17,6,Yearly,115.7,0
C0275,57.0,27,90.61,7,Monthly,78.1,0
C0276,56.0,5,117.29,9,Monthly,183.2,1
C0277,35.0,20,38.45,8,Monthly,14.0,1
C0278,57.0,11,90.53,5,Monthly,70.0,1
C0279,18.0,10,69.94,3,Monthly,20.8,0
C0280,28.0,40,108.13,0,Two-Year,155.6,1
C0281,45.0,38,45.94,7,Yearly,143.4,0
C0282,42.0,6,92.34,6,Yearly,73.0,1
C0283,67.0,8,105.43,1,Monthly,138.4,0
C0284,40.0,23,115.02,7,Monthly,85.2,1
C0285,48.0,47,91.49,4,Monthly,153.7,0
C0286,47.0,26,74.75,6,Yearly,96.3,0
C0287,59.0,46,85.61,3,Yearly,88.3,1
C0288,52.0,43,108.2,4,Monthly,187.6,0
C0289,24.0,12,81.35,7,Monthly,57.7,0
C0290,33.0,26,32.73,0,Monthly,32.9,1
C0291,43.0,13,113.79,0,Two-Year,121.1,1
C0292,65.0,40,92.06,3,Yearly,194.2,0
C0293,69.0,18,90.89,2,Monthly,81.8,1
C0294,66.0,25,49.41,9,Monthly,21.8,0
C0295,19.0,33,89.3,1,Yearly,74.5,0
C0296,18.0,47,65.45,2,Monthly,106.1,0
C0297,65.0,40,88.61,0,Monthly,40.8,0
C0298,29.0,60,39.59,0,Monthly,135.0,0
C0299,22.0,43,89.21,5,Yearly,199.6,0
C0300,54.0,12,119.95,4,Monthly,95.8,1
C0301,49.0,44,34.34,7,Monthly,77.4,0
C0302,26.0,36,117.95,1,Two-Year,86.1,0
C0303,58.0,48,66.62,3,Monthly,31.9,0
C0304,52.0,4,108.37,7,Monthly,177.8,0
C0305,36.0,5,100.41,5,Monthly,88.8,1
C0306,65.0,56,81.03,0,Monthly,83.6,0
C0307,33.0,37,96.46,3,Yearly,135.3,0
C0308,20.0,8,109.07,0,Monthly,94.0,1
C0309,37.0,42,66.37,1,Monthly,133.2,0
C0310,41.0,49,59.43,4,Yearly,21.7,0
C0311,50.0,28,90.08,7,Yearly,164.6,0
C0312,41.0,31,102.71,7,Yearly,188.7,1
C0313,69.0,58,98.61,2,Monthly,133.3,0
C0314,28.0,9,101.8,3,Monthly,191.4,1
C0315,66.0,54,69.2,9,Yearly,38.8,0
C0316,25.0,51,103.61,5,Monthly,100.7,0
C0317,53.0,29,40.82,9,Yearly,124.3,0
C0318,55.0,14,79.0,2,Yearly,120.5,1
C0319,57.0,40,30.52,1,Yearly,86.3,0
C0320,37.0,41,59.21,5,Monthly,74.2,0
C0321,52.0,22,62.98,4,Monthly,34.1,0
C0322,65.0,11,65.66,9,Yearly,84.4,1
C0323,42.0,23,92.59,4,Monthly,40.9,0
C0324,52.0,1,64.97,9,Monthly,149.5,1
C0325,42.0,46,70.38,4,Two-Year,49.7,0
C0326,46.0,37,51.38,9,Two-Year,21.1,1
C0327,35.0,21,63.59,4,Monthly,114.9,1
C0328,63.0,26,50.45,2,Monthly,123.1,0
C0329,35.0,46,36.59,6,Monthly,175.7,1
C0330,19.0,36,84.31,5,Yearly,119.6,1
C0331,52.0,54,90.14,3,Two-Year,75.6,0
C0332,33.0,23,85.75,1,Monthly,162.6,0
C0333,58.0,57,71.71,8,Monthly,112.7,0
C0334,53.0,1,64.18,0,Two-Year,25.1,1
C0335,50.0,54,107.7,3,Monthly,117.5,0
C0336,21.0,55,76.72,0,Monthly,182.5,0
C0337,50.0,51,73.13,5,Two-Year,85.3,1
C0338,31.0,40,32.31,3,Monthly,66.3,0
C0339,38.0,15,60.71,4,Yearly,37.3,1
C0340,65.0,21,64.22,4,Monthly,38.8,0
C0341,37.0,47,65.89,8,Monthly,92.2,0
C0342,25.0,9,82.22,0,Yearly,123.2,1
C0343,24.0,53,78.02,1,Monthly,25.3,1
C0344,20.0,9,84.71,5,Two-Year,188.5,1
C0345,34.0,10,98.84,4,Yearly,153.5,0
C0346,50.0,52,103.17,6,Monthly,121.5,0
C0347,65.0,57,94.63,2,Monthly,167.4,0
C0348,29.0,53,116.0,2,Monthly,25.2,1
C0349,68.0,26,31.64,9,Monthly,100.6,1
C0350,39.0,41,47.62,1,Monthly,129.7,0
C0351,39.0,35,30.68,2,Monthly,167.4,1
C0352,63.0,52,88.27,9,Monthly,158.9,1
C0353,47.0,25,110.82,0,Yearly,62.6,1
C0354,55.0,26,51.91,4,Yearly,188.8,1
C0355,55.0,11,113.43,4,Yearly,33.6,0
C0356,62.0,38,35.42,6,Monthly,176.3,1
C0357,68.0,2,114.1,3,Monthly,194.5,1
C0358,25.0,7,61.65,2,Yearly,43.7,1
C0359,44.0,18,39.13,0,Monthly,147.2,1
C0360,44.0,27,73.73,7,Monthly,17.7,0
C0361,51.0,34,53.11,2,Yearly,87.0,0
C0362,38.0,27,55.64,1,Yearly,108.1,1
C0363,47.0,17,57.66,3,Monthly,120.3,1
C0364,50.0,43,102.27,2,Monthly,187.8,1
C0365,45.0,59,78.52,0,Yearly,137.7,0
C0366,64.0,44,58.02,2,Yearly,101.4,1
C0367,50.0,59,84.93,1,Yearly,163.8,0
C0368,22.0,51,94.45,7,Yearly,190.6,1
C0369,65.0,54,54.54,5,Yearly,14.2,0
C0370,36.0,24,67.22,8,Monthly,196.7,1
C0371,21.0,25,40.97,7,Monthly,26.4,1
C0372,52.0,7,46.3,9,Yearly,164.7,1
C0373,66.0,52,91.3,2,Yearly,63.3,0
C0374,34.0,6,46.33,4,Yearly,35.1,1
C0375,61.0,53,77.26,6,Monthly,93.6,0
C0376,45.0,24,93.81,4,Monthly,132.4,1
C0377,47.0,33,39.62,7,Two-Year,82.4,1
C0378,46.0,49,81.06,4,Yearly,20.4,1
C0379,63.0,29,53.09,0,Two-Year,123.9,0
C0380,23.0,43,116.66,4,Yearly,181.5,0
C0381,52.0,22,73.52,3,Yearly,82.8,0
C0382,58.0,26,102.54,5,Yearly,51.1,1
C0383,54.0,28,79.52,2,Two-Year,94.1,0
C0384,41.0,50,33.91,4,Yearly,19.2,1
C0385,46.0,21,86.98,1,Yearly,165.9,1
C0386,66.0,49,115.63,5,Monthly,167.0,1
C0387,63.0,7,84.15,5,Monthly,121.7,0
C0388,48.0,17,103.73,4,Yearly,77.1,1
C0389,52.0,20,109.58,5,Monthly,162.0,1
C0390,50.0,41,50.53,6,Monthly,115.4,0
C0391,69.0,49,49.08,4,Monthly,166.9,0
C0392,38.0,20,84.99,0,Monthly,130.0,0
C0393,49.0,54,66.99,7,Monthly,159.0,1
C0394,40.0,22,105.59,3,Monthly,123.7,0
C0395,50.0,28,111.0,8,Two-Year,88.7,1
C0396,20.0,40,61.81,9,Monthly,192.0,0
C0397,35.0,49,51.32,5,Monthly,112.8,0
C0398,42.0,7,100.25,0,Monthly,125.0,1
C0399,59.0,1,54.73,2,Yearly,51.9,1
C0400,48.0,32,104.04,2,Monthly,128.9,0
C0401,20.0,13,68.14,9,Yearly,118.6,0
C0402,57.0,30,90.08,3,Yearly,45.1,1
C0403,63.0,23,38.6,5,Yearly,21.3,1
C0404,41.0,51,86.15,6,Monthly,124.8,0
C0405,67.0,59,70.66,9,Yearly,155.1,0
C0406,49.0,56,82.79,3,Monthly,109.4,1
C0407,64.0,19,45.12,5,Two-Year,53.1,0
C0408,39.0,32,96.32,0,Yearly,136.6,0
C0409,40.0,30,107.65,7,Monthly,25.2,0
C0410,19.0,29,49.51,6,Monthly,93.9,1
C0411,44.0,49,38.61,8,Monthly,41.0,1
C0412,59.0,45,32.13,2,Yearly,45.0,0
C0413,19.0,29,87.78,1,Monthly,48.4,1
C0414,43.0,30,84.64,0,Yearly,83.5,1
C0415,34.0,16,79.2,2,Monthly,19.7,1
C0416,57.0,40,50.88,4,Yearly,85.6,1
C0417,50.0,19,65.18,1,Yearly,107.2,1
C0418,26.0,18,83.5,2,Yearly,101.8,0
C0419,60.0,1,74.71,3,Yearly,82.7,1
C0420,65.0,14,118.9,6,Monthly,169.4,1
C0421,56.0,51,42.28,2,Monthly,37.6,1
C0422,46.0,47,92.56,8,Yearly,106.1,0
C0423,59.0,50,66.39,7,Monthly,21.8,0
C0424,43.0,2,68.54,3,Monthly,23.5,1
C0425,52.0,54,94.58,0,Monthly,119.0,0
C0426,67.0,28,92.32,0,Monthly,117.5,1
C0427,42.0,49,119.21,0,Monthly,176.8,0
C0428,41.0,50,41.56,0,Two-Year,116.0,0
C0429,30.0,30,39.37,7,Monthly,192.4,1
C0430,24.0,38,95.19,2,Yearly,19.3,1
C0431,53.0,51,82.05,5,Monthly,28.6,1
C0432,62.0,4,54.67,2,Yearly,18.4,0
C0433,37.0,1,37.15,4,Monthly,45.2,1
C0434,18.0,8,37.71,6,Two-Year,112.8,0
C0435,25.0,29,110.48,1,Two-Year,132.7,0
C0436,63.0,55,47.27,5,Monthly,18.7,1
C0437,33.0,39,59.1,5,Two-Year,189.7,1
C0438,31.0,3,50.4,2,Two-Year,170.0,1
C0439,29.0,32,61.95,5,Yearly,66.4,0
C0440,68.0,10,36.25,9,Yearly,24.7,1
C0441,40.0,10,76.72,9,Monthly,42.3,1
C0442,32.0,19,36.09,4,Yearly,34.1,0
C0443,45.0,46,102.03,1,Monthly,33.4,1
C0444,51.0,34,51.03,8,Monthly,108.5,0
C0445,19.0,60,78.6,7,Two-Year,56.7,1
C0446,49.0,33,109.21,2,Monthly,78.0,1
C0447,40.0,23,88.58,7,Yearly,198.0,1
C0448,39.0,55,77.97,8,Yearly,140.0,1
C0449,68.0,28,59.19,2,Two-Year,190.3,1
C0450,42.0,32,59.97,2,Two-Year,37.1,0
C0451,39.0,50,90.25,1,Monthly,82.6,0
C0452,39.0,7,119.47,7,Monthly,115.4,1
C0453,66.0,29,89.57,9,Monthly,24.6,0
C0454,69.0,8,80.2,0,Monthly,10.8,1
C0455,59.0,1,95.76,7,Monthly,137.4,0
C0456,23.0,57,71.87,6,Monthly,131.9,0
C0457,32.0,55,35.41,6,Yearly,88.0,0
C0458,60.0,3,80.61,2,Yearly,103.0,1
C0459,54.0,24,116.19,0,Monthly,88.9,1
C0460,50.0,23,45.78,3,Yearly,14.6,0
C0461,25.0,59,92.1,8,Monthly,73.7,0
C0462,61.0,8,48.08,4,Monthly,43.6,1
C0463,61.0,54,78.22,0,Yearly,28.7,0
C0464,22.0,57,38.7,4,Yearly,191.8,0
C0465,56.0,47,70.53,7,Yearly,123.9,1
C0466,21.0,37,98.05,7,Monthly,148.4,1
C0467,23.0,3,61.28,4,Yearly,69.9,1
C0468,62.0,51,89.84,8,Yearly,84.7,1
C0469,49.0,33,101.59,0,Yearly,55.0,0
C0470,69.0,28,113.45,3,Yearly,28.4,1
C0471,47.0,47,51.12,2,Two-Year,44.0,1
C0472,64.0,8,65.94,1,Yearly,161.5,0
C0473,52.0,34,43.72,7,Yearly,138.7,1
C0474,57.0,35,119.32,6,Two-Year,113.9,1
C0475,69.0,32,113.43,8,Yearly,100.3,0
C0476,33.0,24,78.6,1,Monthly,185.3,1
C0477,30.0,14,105.78,3,Yearly,23.8,0
C0478,67.0,32,76.89,5,Monthly,63.3,0
C0479,59.0,56,86.12,2,Monthly,76.5,0
C0480,47.0,46,38.02,7,Yearly,158.7,1
C0481,36.0,43,97.97,2,Two-Year,198.6,0
C0482,34.0,16,41.49,1,Two-Year,55.7,0
C0483,36.0,4,104.35,2,Monthly,176.1,1
C0484,45.0,52,100.38,5,Monthly,167.8,0
C0485,43.0,37,93.79,1,Monthly,52.7,1
C0486,54.0,54,33.25,7,Two-Year,85.9,1
C0487,43.0,21,57.28,0,Two-Year,87.8,1
C0488,40.0,14,53.68,6,Yearly,195.9,1
C0489,26.0,31,62.41,1,Yearly,44.4,0
C0490,29.0,55,37.89,9,Yearly,161.8,1
C0491,18.0,48,114.33,5,Yearly,73.5,1
C0492,18.0,18,79.84,1,Monthly,148.9,1
C0493,64.0,7,57.5,1,Monthly,89.8,1
C0494,51.0,10,65.73,9,Yearly,119.9,1
C0495,49.0,7,70.25,7,Yearly,168.2,1
C0496,65.0,33,84.05,1,Monthly,162.8,1
C0497,42.0,23,76.41,6,Two-Year,174.6,0
C0498,57.0,21,112.75,2,Monthly,21.3,1
C0499,62.0,19,74.73,7,Monthly,141.5,1
C0500,18.0,48,119.29,6,Yearly,36.6,1
C0501,33.0,19,106.63,7,Yearly,89.0,0
C0502,56.0,36,48.77,6,Yearly,114.2,1
C0503,22.0,29,113.75,5,Monthly,86.5,0
C0504,39.0,60,40.47,6,Monthly,108.7,0
C0505,46.0,18,103.57,4,Yearly,199.3,1
C0506,20.0,2,64.26,6,Yearly,35.7,1
C0507,29.0,1,109.02,0,Monthly,138.3,1
C0508,43.0,47,108.13,0,Yearly,85.2,0
C0509,33.0,5,102.53,8,Monthly,35.3,0
C0510,68.0,20,101.1,4,Yearly,40.2,0
C0511,54.0,11,57.42,4,Yearly,190.4,0
C0512,39.0,42,37.28,2,Monthly,177.1,0
C0513,46.0,2,66.27,4,Monthly,182.3,0
